Dataset,Year,Modality,Image Source,Primary Imaged Regions,Secondary Imaged Regions,3D Bone Shapes,3D Format,N subjects,Subjects Metadata,Accessibility,Redistribution Permission,License
49,2025,CT,Original,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Hip,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,,,300,Clinical Condition,Open,Allowed,CC BY-NC 4.0
50,2023,CT,Original,Abdomen,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,,,4650,,Open,Allowed,Other
51,2022,CT; PET,Original,Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Hip,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Forearm; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,,,1014,Age; Gender; Weight; Height,Mixed,Mixed,CC BY-NC 4.0; Other; TCIA Restricted; differs depending on the download source
52,2025,CT; XRay,Original,Thoracic Cage; Thoracic Spine,Neurocranium; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Hip; Upper Leg,,,48,,Open,Unknown,N/A
53,2019,CT; PET,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Hip; Upper Leg,,,46,Age; Gender; Weight; Height,Open,Allowed,CC BY 3.0
54,2025,CT; MRI; CBCT,Original,Neurocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder,,,2362,Age; Gender; Weight; Height,Open,Mixed,CC BY 4.0; Other
55,2022,CT; MRI,Original,Abdomen,Thoracic Cage; Thoracic Spine; Lumbar Spine; Pelvis; Abdomen; Shoulder; Hip; Upper Leg,,,3800,Age; Gender,Open,Allowed,CC BY 4.0; CC BY-NC-SA 4.0; inconsistency between zenodo license and paper descriptions
56,2019,CT; MRI,Mixed,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Hip; Upper Leg,,,2633,,Open,Allowed,CC BY-SA 4.0
57,2024,CT,Mixed,Abdomen,Thoracic Cage; Thoracic Spine; Lumbar Spine; Pelvis; Abdomen; Shoulder; Hip; Upper Leg,,,40,,Open,Allowed,CC BY 4.0
58,2022,CT,Original,Abdomen,Thoracic Cage; Thoracic Spine; Lumbar Spine; Pelvis; Abdomen; Shoulder; Hip; Upper Leg,,,2100,,Open,Allowed,Other
59,2025,CT,Mixed,Abdomen,Thoracic Cage; Thoracic Spine; Lumbar Spine; Pelvis; Abdomen; Shoulder; Hip; Upper Leg,,,30,,Open,Allowed,CC BY 4.0
60,2023,CT,Original,Abdomen,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,489,Age; Gender; BMI; Clinical Condition; Alcohol Use; Smoking History; and more comprehensive medical history,Open,Allowed,CC BY-NC-SA 4.0
61,2020,CT; MRI,Original,Abdomen,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,97,Age; Gender; Weight; Height,Open,Allowed,CC BY 3.0
62,2024,MRI,Original,Cervical Spine; Thoracic Spine; Lumbar Spine,Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis,,,14,Age; Gender; Weight; Height,Open,Allowed,CC BY 4.0
