Dataset Name,Access Link,Related Paper,Country,Year,Size,Remarks,Medical Images Included,Imaging Modality,Image Source,Image Source Details,Primary Imaged Regions,Secondary Imaged Regions,Available 3D Bone Shapes,Additional Structures,Landmarks,Voxel Segmentation Mask,Mesh Model,CAD Model,Number of Subjects,Available Information per Subject,Subjects Vital Status,Subjects Clinical Condition,Access Policy,Data Redistribution Policy,Research Use Policy,Commercial Use Policy,License
,,,Germany,2025,53.3,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Hip,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,,,,,,,300,Clinical Condition,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC 4.0
,,,Canada,2023,372,,Yes,CT,Original,,Abdomen,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,,,,,,,4650,,,,Open Access,Allowed,,,Other
,,,Germany,2022,418.85,,Yes,CT; PET,Original,,Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Hip,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Forearm; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,,,,,,,1014,Age; Gender; Weight; Height,,,Open Access; Restricted,Allowed; Restricted,Allowed; Restricted,Restricted,CC BY-NC 4.0; Other; TCIA Restricted; differs depending on the download source
,,,China,2025,4.34,,Yes,CT; XRay,Original,,Thoracic Cage; Thoracic Spine,Neurocranium; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Hip; Upper Leg,,,,,,,48,,,,Open Access,Not Specified,Not Specified,Not Specified,N/A
,,,USA,2019,64.24,,Yes,CT; PET,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Hip; Upper Leg,,,,,,,46,Age; Gender; Weight; Height,,,Open Access,Allowed,Allowed,Allowed,CC BY 3.0
,,,Germany; Netherlands,2025,31.8,,Yes,CT; MRI; CBCT,Original,,Neurocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder,,,,,,,2362,Age; Gender; Weight; Height,,,Open Access,Allowed; Restricted,Allowed,Allowed,CC BY 4.0; Other
,,,China,2022,105,,Yes,CT; MRI,Original,,Abdomen,Thoracic Cage; Thoracic Spine; Lumbar Spine; Pelvis; Abdomen; Shoulder; Hip; Upper Leg,,,,,,,3800,Age; Gender,,,Open Access,Allowed,Allowed,Allowed; Restricted,CC BY 4.0; CC BY-NC-SA 4.0; inconsistency between zenodo license and paper descriptions
,,,UK; Germany,2019,70.6,,Yes,CT; MRI,Original; Adopted,,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Hip; Upper Leg,,,,,,,2633,,,,Open Access,Allowed,Allowed,Allowed,CC BY-SA 4.0
,,,USA,2024,3.5,,Yes,CT,Original; Adopted,,Abdomen,Thoracic Cage; Thoracic Spine; Lumbar Spine; Pelvis; Abdomen; Shoulder; Hip; Upper Leg,,,,,,,40,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,Canada,2022,136,,Yes,CT,Original,,Abdomen,Thoracic Cage; Thoracic Spine; Lumbar Spine; Pelvis; Abdomen; Shoulder; Hip; Upper Leg,,,,,,,2100,,,,Open Access,Allowed,,,Other
